Produto,Mes,Unidades,Segmento,Mes_Num,Data,Selic_Mes,PIB_Const_Index,Credito_Safra_Bi,Vendas_Lag1,Media_Movel_3M,Predicao_ML_Exog
Mini-carregadeira,Jun,261.0,Construção,6,2024-06-01,10.5,103.1,14.2,182.0,129.33333333333334,221.88199110076627
Mini-carregadeira,Jul,193.0,Construção,7,2024-07-01,10.5,103.5,45.8,261.0,168.33333333333334,150.13092945382311
Mini-carregadeira,Ago,198.0,Construção,8,2024-08-01,10.5,104.0,38.5,193.0,212.0,220.15687620883557
Motoniveladoras,Fev,187.0,Construção,2,2024-02-01,11.25,100.8,18.2,172.0,147.0,223.70787834570524
Motoniveladoras,Mar,213.0,Construção,3,2024-03-01,10.75,101.5,20.1,187.0,161.0,217.58131107282213
Motoniveladoras,Mar,262.0,Construção,3,2024-03-01,10.75,101.5,20.1,213.0,190.66666666666666,219.36940631091736
Motoniveladoras,Abr,198.0,Construção,4,2024-04-01,10.75,102.1,15.4,262.0,220.66666666666666,146.57989801304166
Motoniveladoras,Abr,222.0,Construção,4,2024-04-01,10.75,102.1,15.4,198.0,224.33333333333334,219.3522095421689
Motoniveladoras,Mai,230.0,Construção,5,2024-05-01,10.5,102.3,12.8,222.0,227.33333333333334,220.15687620883557
Motoniveladoras,Mai,246.0,Construção,5,2024-05-01,10.5,102.3,12.8,230.0,216.66666666666666,219.28044763740698
Motoniveladoras,Jun,198.0,Construção,6,2024-06-01,10.5,103.1,14.2,246.0,232.66666666666666,204.3984547999889
Motoniveladoras,Jun,257.0,Construção,6,2024-06-01,10.5,103.1,14.2,198.0,224.66666666666666,220.15687620883557
Motoniveladoras,Jul,185.0,Construção,7,2024-07-01,10.5,103.5,45.8,257.0,233.66666666666666,181.95432955372323
Motoniveladoras,Jul,272.0,Construção,7,2024-07-01,10.5,103.5,45.8,185.0,213.33333333333334,220.56250120883556
Motoniveladoras,Ago,150.0,Construção,8,2024-08-01,10.5,104.0,38.5,272.0,238.0,149.87445698099617
Motoniveladoras,Ago,272.0,Construção,8,2024-08-01,10.5,104.0,38.5,150.0,202.33333333333334,231.22264569631653
Pas carregadeiras,Fev,204.0,Construção,2,2024-02-01,11.25,100.8,18.2,425.0,330.3333333333333,252.91408795538274
Pas carregadeiras,Mar,635.0,Construção,3,2024-03-01,10.75,101.5,20.1,204.0,270.3333333333333,511.22845435484766
Pas carregadeiras,Mar,228.0,Construção,3,2024-03-01,10.75,101.5,20.1,635.0,421.3333333333333,215.42474330003802
Pas carregadeiras,Abr,498.0,Construção,4,2024-04-01,10.75,102.1,15.4,228.0,355.6666666666667,631.4722086367739
Pas carregadeiras,Abr,200.0,Construção,4,2024-04-01,10.75,102.1,15.4,498.0,453.6666666666667,220.2962930835878
Pas carregadeiras,Mai,485.0,Construção,5,2024-05-01,10.5,102.3,12.8,200.0,308.6666666666667,607.2238475256627
Pas carregadeiras,Mai,251.0,Construção,5,2024-05-01,10.5,102.3,12.8,485.0,394.3333333333333,224.74023752803225
Pas carregadeiras,Jun,856.0,Construção,6,2024-06-01,10.5,103.1,14.2,251.0,312.0,628.2192923308577
Pas carregadeiras,Jun,277.0,Construção,6,2024-06-01,10.5,103.1,14.2,856.0,530.6666666666666,142.52082355165774
Pas carregadeiras,Jul,396.0,Construção,7,2024-07-01,10.5,103.5,45.8,277.0,461.3333333333333,633.5055679441334
Pas carregadeiras,Jul,271.0,Construção,7,2024-07-01,10.5,103.5,45.8,396.0,509.6666666666667,392.8303217493664
Pas carregadeiras,Ago,430.0,Construção,8,2024-08-01,10.5,104.0,38.5,271.0,314.6666666666667,548.1257263135416
Pas carregadeiras,Ago,222.0,Construção,8,2024-08-01,10.5,104.0,38.5,430.0,365.6666666666667,250.8754280042228
Retroescavadeiras,Fev,329.0,Construção,2,2024-02-01,11.25,100.8,18.2,737.0,568.0,205.08289986569463
Retroescavadeiras,Mar,731.0,Construção,3,2024-03-01,10.75,101.5,20.1,329.0,416.3333333333333,661.0151823019976
Retroescavadeiras,Mar,364.0,Construção,3,2024-03-01,10.75,101.5,20.1,731.0,599.0,216.5592428282875
Retroescavadeiras,Abr,1016.0,Construção,4,2024-04-01,10.75,102.1,15.4,364.0,474.6666666666667,863.8433574879227
Retroescavadeiras,Abr,362.0,Construção,4,2024-04-01,10.75,102.1,15.4,1016.0,703.6666666666666,329.2246491739255
Retroescavadeiras,Mai,982.0,Construção,5,2024-05-01,10.5,102.3,12.8,362.0,580.6666666666666,997.3251035196689
Retroescavadeiras,Mai,382.0,Construção,5,2024-05-01,10.5,102.3,12.8,982.0,786.6666666666666,350.2555067155068
Retroescavadeiras,Jun,1256.0,Construção,6,2024-06-01,10.5,103.1,14.2,382.0,575.3333333333334,941.0282733220888
Retroescavadeiras,Jun,315.0,Construção,6,2024-06-01,10.5,103.1,14.2,1256.0,873.3333333333334,327.6926111111112
Retroescavadeiras,Jul,1175.0,Construção,7,2024-07-01,10.5,103.5,45.8,315.0,651.0,1030.1470652958155
Retroescavadeiras,Jul,344.0,Construção,7,2024-07-01,10.5,103.5,45.8,1175.0,915.3333333333334,323.2222301587302
Retroescavadeiras,Ago,952.0,Construção,8,2024-08-01,10.5,104.0,38.5,344.0,611.3333333333334,952.3891569107224
Retroescavadeiras,Ago,366.0,Construção,8,2024-08-01,10.5,104.0,38.5,952.0,823.6666666666666,307.7520860805861
Rolos compactadores,Fev,89.0,Construção,2,2024-02-01,11.25,100.8,18.2,264.0,167.0,123.35967909367876
Rolos compactadores,Mar,255.0,Construção,3,2024-03-01,10.75,101.5,20.1,89.0,146.66666666666666,263.87974772304256
Rolos compactadores,Mar,90.0,Construção,3,2024-03-01,10.75,101.5,20.1,255.0,202.66666666666666,155.0601641291095
Rolos compactadores,Abr,305.0,Construção,4,2024-04-01,10.75,102.1,15.4,90.0,144.66666666666666,262.6433042010473
Rolos compactadores,Abr,129.0,Construção,4,2024-04-01,10.75,102.1,15.4,305.0,216.66666666666666,113.34707576864128
Rolos compactadores,Mai,275.0,Construção,5,2024-05-01,10.5,102.3,12.8,129.0,174.66666666666666,244.1628774394039
Rolos compactadores,Mai,96.0,Construção,5,2024-05-01,10.5,102.3,12.8,275.0,236.33333333333334,143.33875664332214
Rolos compactadores,Jun,353.0,Construção,6,2024-06-01,10.5,103.1,14.2,96.0,166.66666666666666,268.69035182009486
Rolos compactadores,Jun,53.0,Construção,6,2024-06-01,10.5,103.1,14.2,353.0,241.33333333333334,141.72947303803855
Rolos compactadores,Jul,400.0,Construção,7,2024-07-01,10.5,103.5,45.8,53.0,167.33333333333334,285.9818027794419
Rolos compactadores,Jul,104.0,Construção,7,2024-07-01,10.5,103.5,45.8,400.0,268.6666666666667,173.67531846473793
Rolos compactadores,Ago,311.0,Construção,8,2024-08-01,10.5,104.0,38.5,104.0,185.66666666666666,258.8652655534204
Rolos compactadores,Ago,91.0,Construção,8,2024-08-01,10.5,104.0,38.5,311.0,271.6666666666667,290.99894722465206
Tratores de esteira,Fev,336.0,Construção,2,2024-02-01,11.25,100.8,18.2,86.0,133.66666666666666,266.38583620230514
Tratores de esteira,Mar,74.0,Construção,3,2024-03-01,10.75,101.5,20.1,336.0,218.33333333333334,117.96097844929396
Tratores de esteira,Mar,273.0,Construção,3,2024-03-01,10.75,101.5,20.1,74.0,165.33333333333334,269.37512191659084
Tratores de esteira,Abr,63.0,Construção,4,2024-04-01,10.75,102.1,15.4,273.0,227.66666666666666,116.07875870704791
Tratores de esteira,Abr,320.0,Construção,4,2024-04-01,10.75,102.1,15.4,63.0,136.66666666666666,266.93724982316706
Tratores de esteira,Mai,97.0,Construção,5,2024-05-01,10.5,102.3,12.8,320.0,218.66666666666666,109.82616481848035
Tratores de esteira,Mai,286.0,Construção,5,2024-05-01,10.5,102.3,12.8,97.0,160.0,265.2358280105711
Tratores de esteira,Jun,98.0,Construção,6,2024-06-01,10.5,103.1,14.2,286.0,234.33333333333334,142.93808997665548
Tratores de esteira,Jun,184.0,Construção,6,2024-06-01,10.5,103.1,14.2,98.0,160.33333333333334,255.41074174389658
Tratores de esteira,Jul,93.0,Construção,7,2024-07-01,10.5,103.5,45.8,184.0,189.33333333333334,218.77440597074033
Tratores de esteira,Jul,259.0,Construção,7,2024-07-01,10.5,103.5,45.8,93.0,125.0,263.44797086771393
Tratores de esteira,Ago,89.0,Construção,8,2024-08-01,10.5,104.0,38.5,259.0,178.66666666666666,143.44020082134446
Tratores de esteira,Ago,263.0,Construção,8,2024-08-01,10.5,104.0,38.5,89.0,147.0,265.2358280105711
Escavadeiras hidráulicas,Set,1135.0,Construção,9,2024-09-01,10.5,104.8,35.1,60.0,335.0,790.2196554834054
Escavadeiras hidráulicas,Set,75.0,Construção,9,2024-09-01,10.5,104.8,35.1,1135.0,696.6666666666666,279.86577936318065
Escavadeiras hidráulicas,Out,1089.0,Construção,10,2024-10-01,10.5,105.2,29.7,75.0,423.3333333333333,769.8586078643577
Escavadeiras hidráulicas,Out,94.0,Construção,10,2024-10-01,10.5,105.2,29.7,1089.0,766.3333333333334,336.93615873015887
Escavadeiras hidráulicas,Nov,1128.0,Construção,11,2024-11-01,11.25,103.2,24.3,94.0,419.3333333333333,802.1512745310246
Escavadeiras hidráulicas,Nov,45.0,Construção,11,2024-11-01,11.25,103.2,24.3,1128.0,770.3333333333334,347.8829444444445
Escavadeiras hidráulicas,Dez,1088.0,Construção,12,2024-12-01,11.75,103.5,21.0,45.0,422.3333333333333,804.5975580808081
Escavadeiras hidráulicas,Dez,62.0,Construção,12,2024-12-01,11.75,103.5,21.0,1088.0,753.6666666666666,338.14615873015885
Manipulador telescópico,Set,32.0,Construção,9,2024-09-01,10.5,104.8,35.1,29.0,33.333333333333336,144.80633333333336
Manipulador telescópico,Out,29.0,Construção,10,2024-10-01,10.5,105.2,29.7,32.0,30.0,149.71633333333335
Manipulador telescópico,Nov,49.0,Construção,11,2024-11-01,11.25,103.2,24.3,29.0,30.0,146.07216666666667
Manipulador telescópico,Dez,40.0,Construção,12,2024-12-01,11.75,103.5,21.0,49.0,36.666666666666664,105.32433298433834
Mini-carregadeira,Set,191.0,Construção,9,2024-09-01,10.5,104.8,35.1,198.0,217.33333333333334,220.15687620883557
Mini-carregadeira,Out,149.0,Construção,10,2024-10-01,10.5,105.2,29.7,191.0,194.0,220.15687620883557
Mini-carregadeira,Nov,195.0,Construção,11,2024-11-01,11.25,103.2,24.3,149.0,179.33333333333334,230.321217124888
Mini-carregadeira,Dez,160.0,Construção,12,2024-12-01,11.75,103.5,21.0,195.0,178.33333333333334,218.36878097074035
Motoniveladoras,Set,213.0,Construção,9,2024-09-01,10.5,104.8,35.1,272.0,231.33333333333334,134.70712364766285
Motoniveladoras,Set,204.0,Construção,9,2024-09-01,10.5,104.8,35.1,213.0,211.66666666666666,220.15687620883557
Motoniveladoras,Out,221.0,Construção,10,2024-10-01,10.5,105.2,29.7,204.0,229.66666666666666,220.15687620883557
Motoniveladoras,Out,242.0,Construção,10,2024-10-01,10.5,105.2,29.7,221.0,212.66666666666666,220.15687620883557
Motoniveladoras,Nov,148.0,Construção,11,2024-11-01,11.25,103.2,24.3,242.0,222.33333333333334,206.1562845461496
Motoniveladoras,Nov,223.0,Construção,11,2024-11-01,11.25,103.2,24.3,148.0,203.66666666666666,231.22264569631653
Motoniveladoras,Dez,121.0,Construção,12,2024-12-01,11.75,103.5,21.0,223.0,204.33333333333334,220.15687620883557
Motoniveladoras,Dez,130.0,Construção,12,2024-12-01,11.75,103.5,21.0,121.0,164.0,250.6171222034118
Pas carregadeiras,Set,466.0,Construção,9,2024-09-01,10.5,104.8,35.1,222.0,307.6666666666667,554.5064864145517
Pas carregadeiras,Set,260.0,Construção,9,2024-09-01,10.5,104.8,35.1,466.0,372.6666666666667,225.88690419469896
